is_number,year,title,revision,section,scope,key_requirements,reference
IS 4996 : 1984,1984,REINFORCED CONCRETE FENCE POSTS,First Revision,Cement and Concrete,"Requirements for reinforced concrete cross-sectional dimensions and the reinforcement shall fence posts for general purposes. Recommendations be adequate to conform to strength requirements given for the provisions of wire holes and their spacing, as in 4. well as the erection of post-and-wire fence have also been included. Reinforced lightweight concrete fence Note— Some of the common sizes and shapes for reinforced posts and prestressed concrete fence posts are not concrete fence posts with other details such as reinforcement, covered. fencing wire spacing from ground level, spacing of line post and strainer post and suitability of particular size of fence post for use are given in Appendix B of the standard for","fence posts for general purposes. Recommendations be adequate to conform to strength requirements given | been included. Reinforced lightweight concrete fence Note— Some of the common sizes and shapes for reinforced | 3.2 Tolerances— ± 15 mm on overall length, ± 3 mm on | and are intended to carry the fencing wire cross-sectional dimensions and 0.5 percent on | the corners or ends, or at intermediate 5.1 Impact Test— When tested, specimen shall show | recommendations for manufacture of reinforced concrete under field conditions and for recommendations for erection of fence",
IS 5751 : 1984,1984,PRECAST CONCRETE COPING BLOCKS,First Revision,Cement and Concrete,"Requirements for precast concrete coping Note —For minimum dimensions of the cross section for blocks, giving details of materials for manufacture, clip type and for flat bottomed coping, see Fig. 1 and 2 of the standard. workmanship, functional requirements and essential dimensions to meet them. 2.2 Length — 1 m or as agreed.",1. Scope — Requirements for precast concrete coping Note —For minimum dimensions of the cross section for | Note—The blocks serve as defence against entry of moisture 2.3 Tolerances — ± 3 mm for cross-sectional profile | into hollow concrete block walls. Functional requirements and ± 6 mm for length. | d) should allow for thermal and moisture 4. Mass — Not less than 35 kg/m for flat bottomed,
IS 5758 : 1984,1984,PRECAST CONCRETE KERBS,First Revision,Cement and Concrete,"Requirements of precast concrete units 3.3 Edgings — 50 × 250, 50 × 200, 50 × 150mm. for kerbs, channels, edgings, quadrants and gutter aprons in a range of sections, for use in carriageways 3.4 Quadrant — Depths 125, 200 or 250 mm and width and footways. 300 or 450 mm with faces to match the sections of straight kerbs.","1. Scope— Requirements of precast concrete units 3.3 Edgings — 50 × 250, 50 × 200, 50 × 150mm. | aprons in a range of sections, for use in carriageways 3.4 Quadrant — Depths 125, 200 or 250 mm and width | and footways. 300 or 450 mm with faces to match the sections of straight | be given first and the dimensions of vertical face be 2 500 or 3 000 mm but usual width shall rage from 300 to | second. 900 mm. Usual range of height 125 to 200 mm. The | thickness of precast kerb shall be 75 to 150 mm while | 3. Dimensions minimum thickness of channel shall be 125 or 100 mm. | straight channels, edgings and 1m maximum normally | 100 × 250 mm standard sections of concrete edgings, standard concrete | 125 × 250 mm 5 of the standard. | c) Half-batter kerbs 150 × 300 4. Tolerances— ±3 mm on length and height; | 125 x 250 mm + 1.5 and – 3 mm on width.",
IS 5820 : 1970,1970,PRECAST CONCRETE CABLE COVERS,,Cement and Concrete,"Requirements for reinforced and 3.1 Tolerance — On length and width ±3 mm, and on unreinforced precast concrete for covering cables. thickness ±2 mm. 4. Tests","1. Scope— Requirements for reinforced and 3.1 Tolerance — On length and width ±3 mm, and on | unreinforced precast concrete for covering cables. thickness ±2 mm. | 4.1 Impact Strength for Reinforced Covers— Not more | L W T T' unreinforced Covers, Min (kg)","For detailed information, refer to IS 5820:1970 Specification for precast concrete cable covers."
IS 6072 : 1971,1971,AUTOCLAVED REINFORCED CELLULAR CONCRETE WALL SLABS,,Cement and Concrete,"Requirements for autoclaved reinforced 5.2 Tolerances — For 500 mm and below, ± 2 mm over cellular concrete wall slabs, having density above 450 500 mm, ± 5 mm. and up to 1 000 kg/m3.","1. Scope — Requirements for autoclaved reinforced 5.2 Tolerances — For 500 mm and below, ± 2 mm over | cellular concrete wall slabs, having density above 450 500 mm, ± 5 mm. | and up to 1 000 kg/m3. | 7.2 Dry Shrinkage — Not more than 0.09 percent. | Class Gross Density(kg/m3) | 7.4 Fire Resistance — Not less than 2 hours. | (kgf/cm2) (kcal/m/h/oC) | strength in kgf/cm2), horizontal load bearing capacity, | that is, design load (in kgf/cm2), length (in m), breadth A 70 0.36 | (in mm) and thickness (in mm). B 60 0.32 | mm; thickness 150 to 250 mm with increments of 25 mm.",
IS 6073 : 1971,1971,AUTOCLAVED REINFORCED CELLULAR CONCRETE FLOOR AND ROOF SLABS,,Cement and Concrete,"Requirements for autoclaved reinforced 5.2 Tolerances — For 500 mm and below, ± 2 mm over cellular concrete floor and roof having density above 500 mm, ± 5 mm. 450 and up to 1 000 kg/m3","1. Scope — Requirements for autoclaved reinforced 5.2 Tolerances — For 500 mm and below, ± 2 mm over | cellular concrete floor and roof having density above 500 mm, ± 5 mm. | 450 and up to 1 000 kg/m3 | oven-dry density (without reinforcement) and 7.2 Dry Shrinkage — Not more than 0.09 percent. | Class Gross Density (kg/m3) | A Over 850 and up to 1 000 7.4 Fire Resistance — Not less than 2 hours. | (kgf/cm2) (kcal/m/h/oC) | (kgf/cm2), load bearing capacity, that is, design load B 60 0.32 | (kgf/cm2), length (m), breadth (mm) and thickness (mm). C 50 0.26 | 600 mm; thickness 75 to 250 mm with increments of",
IS 6523 : 1983,1983,PRECAST REINFORCED CONCRETE DOOR AND WINDOW FRAMES,First Revision,Cement and Concrete,Requirements for precast reinforced 3. Requirements concrete door and window frames. Use of such frames is recommended to be restricted to a maximum opening 3.1 Materials width of 2.25 m. 3.1.1 Cement — Ordinary Portland cement or Portland,is recommended to be restricted to a maximum opening 3.1 Materials | mm or 70 × 75 mm for single shutter door and 60 × 120 hardening Portland cement or high strength ordinary | mm for double shutter door. Overall sizes (width and Portland cement. | fine aggregates. Maximum size of coarse aggregate shall,
IS 9893 : 1981,1981,PRECAST CONCRETE BLOCKS FOR LINTELS AND SILLS,,Cement and Concrete,Requirements of precast concrete lintels 2.2.1 General — General types of sills in common and sills. use-the slip sill and the lug sill. Both types are sloped on the top face to drain water away quickly. If projections,"1. Scope — Requirements of precast concrete lintels 2.2.1 General — General types of sills in common | 2. Shape and Dimensions are provided, they should project at least 40mm beyond | by stringing together U-shaped concrete masonry units metal windows shall be provided with holes 20mm | as forms, and then placing reinforcement and pouring diameter and 32 mm deep at prescribed distances from | doors and windows shall be bonded into the masonry provided, shall be not less than 40mm from the finished | lintel. +12 mm shall be allowed on cross-sectional dimensions | 2.1.5 Throatings — A 16mm wide throatings shall be and ± 6 mm on the length. In case of sills, a tolerance of | +0 mm shall be allowed on the cross-sectional | dimensions and ± 3 mm on the length.",
IS 10388 : 1982,1982,"CORRUGATED COIR, WOODWOOL, CEMENT ROOFING SHEETS",,Cement and Concrete,"Requirements regarding materials, 2.2 Woodwool — These shall be obtained from any dimensions and physical properties for corrugated species of soft timber in fibre form having following roofing sheets made from coir, woodwool and cement. dimensions—","Note — Optimum utilization of national resources demand Length of fibre = 200 to 500 mm | that use of indigeneous building material should be promoted. Width = 0.5 to 2.5 mm | available in large quantity in this country, have been found Thickness = 0.2 to 0.35 mm | ii) Water absorption 30 percent, Max",
IS 12440 : 1988,1988,PRECAST CONCRETE STONE MASONRY BLOCKS,,Cement and Concrete,"Requirements of precast concrete stone 3.2 For 200, 150 and 100 mm nominal thick walls, the masonry blocks, used in the construction of load blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 bearing and non-load bearing walls. mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcement required","1. Scope — Requirements of precast concrete stone 3.2 For 200, 150 and 100 mm nominal thick walls, the | masonry blocks, used in the construction of load blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 | bearing and non-load bearing walls. mm and 300 × 100 × 150 mm nominal size respectively. | 3.3 For accommodating vertical reinforcement required | cement concrete solid block having stone spalls in it suitable for 200 mm thick wall. Similar blocks shall be | (25-30 percent of block volume) and cement concrete made for walls of thickness greater than 200 mm. | with dense stone aggregate and sand. It is 100 percent | solid. 3.4 Tolerances — The maximum variation in the length | of the units shall not be more than ± 5 mm and maximum | masonry block where the stone spalls are exposed at than ± 3 mm. The faces of blocks shall be flat and | Length 300 mm 5. Physical Requirement | Height 150 mm and",For detailed information refer to IS 12440:1988.
