is_number,year,title,revision,section,scope,key_requirements,reference
IS 809 : 1992,1992,RUBBER FLOORING MATERIALS FOR GENERAL PURPOSE,First Revision,"Floor, Wall, Roof Coverings and Finishes","Lays down the composition, minimum requirements, workmanship and prescribes tests for rubber flooring material suitable for covering floors of 4.2 Overall thickness shall not differ from the declared domestic and public buildings, cinemas, hospitals, large nominal value by more than 0.3 mm at any of the twenty stores, ships, transport vehicles, etc. This standard does measuring points. not cover the requirements for special types of rubber 4.3 Tile Sizes and Squareness— Rubber flooring, when flooring used for electrical insulating purposes, supplied in the form of tiles, shall be of any thickness conductive or antistatic flooring or rubber flooring (in the case of ribbed or fluted rubber flooring, the having chemical and oil-resistant properties. thickness refers to the thickness of the ba","1. Scope — Lays down the composition, minimum | domestic and public buildings, cinemas, hospitals, large nominal value by more than 0.3 mm at any of the twenty | 2.1 Shall be made from a compound of natural or 300 mm × 300 mm | synthetic rubber which may also contain reclaim rubber 500 mm × 500 mm | quality, insoluble in water, resistant to alkalies and direct value by more than 0.15 percent. | impregnated with a high grade rubber compound. The less than the nominal value, and shall not exceed the +0 | hessian used shall conform to Type II hessian as nominal value by more than 6 mm. The sponge-backed −2 | impregnated with a high grade rubber compound. rubber at least 3 mm thick on a sponge rubber base of 3 | weight more than 0.5 percent of the original weight | 5.3 Compression Set — Shall not exceed 15 percent | 4. Dimension conditional for 24 hours and 27+1°C | 4.1 Thickness —3 mm, 4 mm, 5 mm, 6 mm 5.3.1 The test pieces shall show no signs of cracking",
IS 1580 : 1991,1991,BITUMINOUS COMPOUNDS FOR WATER-PROOFING AND CAULKING PURPOSES,Second Revision,Water Proofing and Damp Proofing Materials,"Requirements and methods of sampling 3. Composition — The material shall consist of and tests for bituminous compound, applied cold and bitumen and flus oils with or without addition of used for stopping leaks through cracks of roofs, floors, vegetable or resinous oils, cut back with volatile thinners walls, etc; as sealant for plate joints of wagons, coaches and intimately mixed with non-gritty absorbent, and buses; as caulking agent for crevices and vertical inorganic fibrous material (with or without powder) in joints between steel plates, folded sections, wood joints, suitable proportions as to comply with the requirements precast concrete cladding, etc; and as adhesives for of this standard.(see Table 1). rainguards for rubber trees. 4. Keeping Quality — When stored under cover","properties for a period of not less than six months from | i) Water content, percent by mass, Max 0.5 0.5 | ii) Ash content, percent by mass, Max 40 30",
IS 2645 : 2003,2003,INTEGRAL CEMENT WATER-PROOFING COMPOUNDS,Second Revision,Water Proofing and Damp Proofing Materials,"Requirements for integral cement water- 2.3 Compressive Strengths – of mortar cubes using the proofing compounds, which shall be assessed by: recommended proportion of waterproofing compound shall be as follows : a) Permeability to water, and b) Physical tests of setting time and compressive At 3 days — Not less than the minimum specified 3 days strengths of cement mixed with the water-proofing compounds. compressive strength of the grade of ordinary Portland cement used nor less than 90 percent of the 3 days compressive strength","proofing compounds, which shall be assessed by: recommended proportion of waterproofing compound | b) Physical tests of setting time and compressive At 3 days — Not less than the minimum specified 3 days | used nor less than 90 percent of the 3 days compressive strength | Note — Proportions as recommended by manufacturers, | but not exceeding 3 percent by weight of cement. | At 7 days — Not less than the minimum specified 7 days | 2.1 Permeability to water of specimens prepared with used nor less than 90 percent of the 7 days compressive strength | the recommended proportion of the compound shall be of mortar cubes made with the same cement and sand only. | Initial – not less than 30 minutes; final – not more than",
IS 3037 : 1986,1986,BITUMEN MASTIC FOR USE IN,First Revision,Water Proofing and Damp Proofing Materials,"Requirements for bitumen mastic suitable 3.1 Bitumen — See Table 1. for water proofing of roofs. This bitumen mastic is not Note–For methods of tests, refer to IS 1203:1978*, IS intended to be used as a paving material or to with 1205 : 1978 **, IS 1208 : 1978#, IS 1212 : 1978 ^, IS stand exceptional conditions, such as acid or alkali 1216:1978``. actions. 3.2 Aggregate — Aggrates shall be crushed rock or gravel of silicious, granite or limestone origin with","into a compact and uniform layer, not less than 10 mm in † Determination of softening point | iv) Loss on heating, percent, Max 2.0 | Type of Sieve used Percentage by Weight of | Retained on 425-micron IS Sieve and passing 2.00-mm IS Sieve 15 to 20 | Retained on 2.00-mm IS Sieve and passing 4.75-mm IS Sieve 20 to 30 | Retained on 10-mm IS Sieve Nil | Sl No. Requirement Percentage by weight of Total Mastic | ii) 4-75 mm IS Sieve and retained on 2.00 mm 18 to 20 | iii) 2.00 mm IS Sieve and retained on 425-micron IS Sieve 12 to 18",
IS 3384 : 1986,1986,BITUMEN PRIMER FOR USE IN,First Revision,Water Proofing and Damp Proofing Materials,Covers the requirements for bitumen primer 2. Requirements — See Table 1 for application to concrete and masonry surfaces and to be used with bitumen in damp-proofing and waterproofing below or above ground level.,"i) Viscosity by standard tar viscometer,4-mm orifice, in sec, at 25oC 4 to 24 | ii) Distillation fractions, percent by volume of the primer– | iv) Water content, percent, Max 0.2 | percent by weight, Min",
IS 5871 : 1987,1987,BITUMEN MASTIC FOR,First Revision,Water Proofing and Damp Proofing Materials,"Requirements for bitumen mastic used passing 75-micron IS Sieve and shall have a calcium as covering material for damp-proofing of underground carbonate content of not less than 80 percent by weight. tanks, basements of building, water reservoirs, swimming pools, irrigation canals, etc. 3.3 Aggregates — Fine aggregate shall only be used. Fine aggregate shall consist of naturally occuring sand","as covering material for damp-proofing of underground carbonate content of not less than 80 percent by weight. | swimming pools, irrigation canals, etc. 3.3 Aggregates — Fine aggregate shall only be used. | this temperature shall be easily compressible by trowels Type of Sieve Used Percentage of Weight | into a compact and uniform layer. | iv) Loss on heating, percent Max 1 | v) Solubility in CS2, percent Min 99 | Carbon tetrachloride or trichloroethylene 2.36 mm IS Sieve | Retained on 2.36 mm IS Sieve Nil | Sl.No. Requirements Percentage by Total | v) Aggregate passing 2.36 mm IS Sieve 7 to 20 | 3.2 Filler — The filler shall be lime-stone powder vi) Aggregate retained on 2.36 mm IS Sieve Nil",
IS 7193 : 1974,1974,GLASS FIBRE BASE BITUMEN FELTS,First Revision,Water Proofing and Damp Proofing Materials,Requirements for self finished glass fibre fibre base bitumen felts for damp-proofing. bitumen felts used for waterproofing and damp proofing. 3. Dimensions — Bitumen felts in width of one metre,"TABLE 1 MINIMUM WEIGHT OF GLASS FIBRE BASE BITUMEN FELTS FOR 10 m | kg kg kg | i) Breaking strength, Min kg. a) Warp 50 | b) Consider any surface rupture exceeding 5 mm in length as failure | vi) Water absorption 2 percent",
IS 12027 : 1987,1987,SILICONE-BASED WATER REPELLENTS,,Water Proofing and Damp Proofing Materials,"Requirements for silicone - based water 3. Consistency — The water repellent shall be of repellents. These water repellents can be applied to such consistency that it can be readily applicable to masonry generally free from cracks exceeding 0.10 mm masonary by brushing or spraying. in width, to confer water repellency without appreciable change of colour or appearance other than that imparted 4. Performance Requirement by fugitive dye. 4.1 Early Water Repellency — Water repellency shall",masonry generally free from cracks exceeding 0.10 mm masonary by brushing or spraying. | change of colour or appearance other than that imparted 4. Performance Requirement | masonary of a predominantly more than 10 percent for any one of three test specimens. | cast stone masonary of a be not less than 10 percent.,"For detailed information, refer to IS 12027 : 1987 Specification for silicone-based water repellents."
IS 14695 : 1999,1999,GLASS FIBRE BASE COAL TAR PITCH OUTER WRAP,,Water Proofing and Damp Proofing Materials,Covers the requirement for glass fibre 3. Other Requirements — See Table 2 base coal tar pitch outerwrap used for corrosion protection of buried mild steel pipelines. TABLE 2 REQUIREMENTS OF GLASS FIBRE OUTER WRAPS,"in Kg, min b) Weft 15 | TABLE 1 MINIMUM WEIGHT OF 3 h at 5 C. b) Consider any surface repture | GLASS FIBRE BASE OUTERWRAPS exceeding 5 mm in length | kg kg Surfacing Material. | (168.3 to 2032 mm outside diameter) (third revision) 10.138 | IS 14846 : 2000 Sluice valves for water works purposes (50 to 1 200 mm size) 10.231",
IS 775 : 1970,1970,CAST IRON BRACKETS AND SUPPORTS FOR WASH-BASINS AND SINKS,Second Revision,Sanitary Appliances and Water Fittings,"Requirements regarding material, m) Wall fixing single rail type bracket 1.2 construction, workmanship dimensions, weights and for wash basin finish of cast iron brackets and supports for wash basins n) Wall fixing cantilever type bracket 1.0 and sinks. for wash basin p) Strap and leg support with As utually",15 mm bore steel tube or casting and shall,
IS 782 : 1978,1978,CAULKING LEAD,Third Revision,Sanitary Appliances and Water Fittings,Requirements for different types of b) Lead Wool — Free from sulphur. Shall consist of caulking lead suitable for use in water supply and fine strands or plaited ribbons. Section not less sanitary installations. than 0.13 mm and not more than 0.9 mm. c) Lead Yarn—Free from sulphur. Shall consist of,"sanitary installations. than 0.13 mm and not more than 0.9 mm. | and sewer lines, where it is possible to use cast less than 0.13 mm and not more than 0.9 mm. | a) Pig lead in pigs of 35 kg + 10 percent, each or","For detailed information, refer to IS 782 : 1978 Specification for caulking lead (third revision)."
IS 804 : 1967,1967,RECTANGULAR PRESSED STEEL TANKS,First Revision,Sanitary Appliances and Water Fittings,"Requirements for the materials, fabrication, 4.1 Mid steel plates and components used in pressed erection and supply for rectangular pressed steel tanks steel tanks shall conform to the prescribed standards. used for the storage of cold and hot water and certain other liquids under pressure not greater than the static 4.2 Bolts and Nuts— Bolts and nuts used shall be of head corresponding to the depth of the tank. mild steel. They shall be hexagonal and finished black. This specification does not cover the requirements 4.3 Jointing Material— The material used for jointing of tanks storing liquids having temperature higher than shall be insoluble in the liquid to be stored and shall be 100°C, or those tanks subject to earth or other external capable of withstanding the temperature variation ","100°C, or those tanks subject to earth or other external capable of withstanding the temperature variation in | 3.1 Pressed steel tanks are not recommended for depths weights and nominal capacity of Type 1 tanks with open | surface is necessary or where there are no restrictions 5.3 The minimum nominal thickness of plates used for | they are to be erected on a solid level floor. than 6.0 mm thick.",
IS 1700 : 1973,1973,DRINKING FOUNTAINS,First Revision,Sanitary Appliances and Water Fittings,"Covers the material, construction, essential 3.3 The water supply to the jet shall be controlled by a hygienic and performance requirements and finish of self closing tap of nominal size, 15 mm, fixed at the right drinking fountains used in schools, parks and other hand side of the connecting inlet pipe when viewed from public places. the front. 3.4 Waste Water Fitting— The drain shall be provided","hygienic and performance requirements and finish of self closing tap of nominal size, 15 mm, fixed at the right | than 10 mm diameter or one square centimentre in area, | nozzle mouth is at an elevation not less than 20 mm above",
IS 2963 : 1979,1979,COPPER ALLOY WASTE FITTINGS FOR WASH-BASINS AND SINKS,First Revision,Sanitary Appliances and Water Fittings,"Requirements for materials, manufacture 2.2 Nominal Sizes – 32 mm for wash basins. and workmanship, nominal sizes, dimensions and finish of copper alloy waste fittings used in wash-basins and 50 mm for sinks sinks complying with the prescribed standards. Note—For detailed dimensions refer to te figures in the standard.","1. Scope— Requirements for materials, manufacture 2.2 Nominal Sizes – 32 mm for wash basins. | of copper alloy waste fittings used in wash-basins and 50 mm for sinks",
IS 3489 : 1985,1985,ENAMELLED STEEL BATH TUBS,First Revision,Sanitary Appliances and Water Fittings,"Requirements for material, construction 3. Material— Mild Steel sheet conforming to the and workmanship, patterns, dimensions, tolerances and prescribed standard and having a minimum thickness maintenance for vitreous enamelled steel bath tubs. of 1.60 mm shall be free from lamination and surface cracks.","and workmanship, patterns, dimensions, tolerances and prescribed standard and having a minimum thickness | maintenance for vitreous enamelled steel bath tubs. of 1.60 mm shall be free from lamination and surface | with 35 mm Min seal trap 580 580 580 570 | with 70 mm Min seal trap 620 620 620 610 | Note— In case of bath tubs pressed from one sheet the dimension may be increased to 100 mm maximum, whilst the slope of the | 5.1 Overall width and length ± 1 percent. | 5.2 For other values specified in Table 1, ± 4 percent b) Dimples, rundown, sagging | and visually satisfactory. 6.4 Thickness of Enamel— shall be between 0.2 mm to | 6.5 Warpage— Shall not exceed 5 mm/m for edges | a) Alkali resistance test—There shall be no loss set against wall or floor and shall not exceed 1.5 mm/m",
IS 5219 : 1969,1969,CAST COPPER ALLOYS TRAPS,,Sanitary Appliances and Water Fittings,"Covers copper alloy cast traps P and S either with plain ends suitable for conection to lead types and their associated components of nominal sizes pipe or with external parallel pipe threads of fastening 32 mm, 40 mm and 50 mm for use in wash–basins, sinks, type. bath tubs and similar waste appliances. 4.3 Tail Pipes — Tail pipes shall be of any of the","32 mm, 40 mm and 50 mm for use in wash–basins, sinks, type. | not less than 56 percent. conform to Table 6 of the standard and | Components shall be forgeable brass with the follow sufficient to have a minimum engagement of | ing composition: 8mm into trap inlet. Collar shall be integral | Note— Total impurities not more than 0.75 percent converting a ‘P’ trap to an ‘S’ trap. | and internal surface shall be clean, smooth and free 25 mm nominal size conforming to Table 8 of the | Note—Typical illustrations of traps are shown in Tables 1 with 25 mm (P-1) parallel pipe theads conforming to IS | to 8 of the standard. 2643 : 1975 with a minimum thread lenght of 10 mm. | inlet with a minimum engagement of 8 mm and secured | 5. Dimensions 5.3 Depth of Seal — The minimum depth of the seal | shall be either 35 mm or 75 mm as ordered. | wall of the traps shall be not less than 2.3 mm and at no",
IS 8718 : 1978,1978,VITREOUS ENAMELLED STEELKITCHEN SINKS,,Sanitary Appliances and Water Fittings,,"1. Scope : Requirmements regading material 2. Material : Mild steel sheet minimum 1 mm thick. | Sl. Pattem Overall Overall OverallDepth (in mm) | mm mm Min Max | mm mm | with doule compartment 800 500 150 200 | vary by more than +2 percent. classes AA,a and B. | the standard. Atleast one ground or primer coating c) Bisters — not more than two in number on | d) Pin holes — maximum 2 for coloured sinks | scratching. e) Specks — shall be less than 1 mm in size and | maximum 5 in number and there shall and | 5.3 Alkali Resistance — There shall be no loss in weight maximum 0.5 mm. | after the test. 5.6 Thickness of Enamel — Minimum 0.2 m, and",
IS 12701 : 1996,1996,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,First Revision,Sanitary Appliances and Water Fittings,,"horizontal cylindrical water tanks (Temperature 190’ C and nominal load of 2.16 kg) shall | 2.1 Shall be such that it does not impart any taste, colour manufactured from carbon black compounded | a) The percentage of carbon black content in | by mass of finished resin, should be physiologically 2.6 The addition of not more than 10 percent of the | be within 932 to 943 kg/m3. | Sl.Minimum Net Range | Capacity Overall Overall Minimum Internal Minimum Wall Minimum | (I) (mm) (mm) (mm) (mm) (kg) | Note— The gross capacity of the tanks shall be at least 5 percent in excess of the minimum net capacity. | SI. Minimum Net Overall Overall Over all Minimum Minimum wall Minimum | water storage tank shall be smooth, clean and free from mm2. | between the circumferiential measurement shall not be polyolefins of moinimum thickness 3 mm and shallhave",
IS 13983 : 1994,1994,STAINLESS STEELSINKS FOR DOMESTIC PURPOSES,,Sanitary Appliances and Water Fittings,"Requirements regarding material 4.5 dimaesions, construction and workmanship for sit-in a) The distance between the edge of the sink bowl and inset type stainless steel sinks for domestic and the end of the sink shall be 15 mm, minimum purposes. Options are specified for sinks with or without for sit-on type sinks and 30 mm, mini mum for overflow holes, tap holes or selected waste facilities. inset type sinks. Depth of the collar provided The standard does not specify methods of supporting for inset sinks shall be 10+2 mm. or methos of fixing and sealing sinks. b) For sinks designed for use with a 600 mm wide worktop, the distance between theedge of the","and inset type stainless steel sinks for domestic and the end of the sink shall be 15 mm, minimum | purposes. Options are specified for sinks with or without for sit-on type sinks and 30 mm, mini mum for | The standard does not specify methods of supporting for inset sinks shall be 10+2 mm. | or methos of fixing and sealing sinks. b) For sinks designed for use with a 600 mm wide | Type A1 or A2 – Single bowl without drainer. mm minimum and in the case of sinks designed | Type B1 or B2 – Double bowl without drainer for use with 500 mm wide worktop, the distance | shall be 45 mm minimum. | minimum of 10 mm from gridline. | grade. numbers of sections compatible with the manufacturing | 4.1 Norminal Thickness of Sheet— not less than 1 mm. inclined towards the–sink bow. | not be less than 0.75 mm. construcrted with a fall to the waste outlet. The waste | 4.3 The depth of the sink bowl shall be 150 mm",
IS 407 : 1981,1981,BRASS TUBES FORGENERAL PURPOSES,Third revision,Sanitary Appliances and Water Fittings,,"Preferred No. Series (mm) | 2.5, 3, 4, 5, 6, 8, 10, 12, 16 and 20 mm. | 4.1.1 Lenghth — Up to 6 mm. | their full lenght to an intermediate temper),and. leaking when tested to an air pressure of 0.42 MPa while | c) Annealed (O). iommersed in water. | Preferred No. Series (mm) Grade Temper Tensile Hardness | 2.5 0.5,0.6 MPa HV | 22 1 to 1.5 6.2 Drifting Test— Tubes up to 100 mm nominal outside | of the drifted end measures at least 30 percent more | 6.3 Flattening (for tubes not exceeding 100 mm 6.5 Mercurous Nitrate Test —As drawn and stress | 6.4 Double Bend Test (for Round Tubes over 100 mm","For detailed information, refer to IS 407: 1981."
IS 2501 : 1995,1995,SOLID DRAWN COPPER TUBES FOR GENERAL ENGINEERING PURPOSES,Third Revision,Sanitary Appliances and Water Fittings,,"2.1 Types— Cu-ETP, Cu-DHP, Cu-FRTP, Condition Tensile Percentage K | Cu-DPA, Cu-ATP. MPa Gauge Lenght | to and including 0.4 mm.",
IS 1230 : 1979,1979,CAST IRON RAINWATER PIPES AND FITTINGS,Second Revision,Sanitary Appliances and Water Fittings,,"round gutters, their fittings and accessories. Length, mm 1800 1800 1800 1800 | 1.2 The requirements of O.G. gutters and fittings are for 1800 mm | covered in Appendix A of the standard. length, kg. 5 5.9 7.5 9.1 | Nominal Size, mm 50 75 100 125 150 | External dia, mm 53 79 104 130 156 | Pipes Projection of spigot bead, mm 1 1 1 1 1 | Width of spigot bead, mm 20 20 20 20 20 | Length of Width of spigot bead, mm 1 800 1 800 1 800 1 800 1 800 | Internal dia, mm 63 89 114 139 167 | Thickness, Min, mm 4 4 4 4 4 | Sockets Internal depth, mm 60 65 65 75 75 | Thickness of beads, mm 7 7 7 9 9",
IS 1536 : 2001,2001,"CENTRIFUGALLY CAST (SPUN) IRON PRESSURE PIPES FOR WATER, GAS AND SEWAGE",Fourth Revision,Sanitary Appliances and Water Fittings,,"c) Brinell Hardness— shall not exceed 230 | Class Hydrostatic Test Pressure atWorks,MPa | thicknessess. Class LA pipes have been taken as the basis at Works,MPa | percent increase in thickness over class LA. Class B Upto 300 DN* 350 to 600 DN* | allows a 20 percent increases in thickness over Class LA (1) (2) (3) | thinckness of 30, 40 or 50 percent respectively. 5. Sizes and Mass | moulds) 900, 1000 and 1050 mm. | Min MPa a) Socket and spigot pipes — 3.0, 3.5, 3.66, 4, 4.5 5, | Upto and including 300 mm 390 5.5, and 6.0 m. | b) Tensile Test for pipes over 300 mm b) Flanged pipes—2.75, 3, 4, 4.5, 5 , 5.25 and 5.5 m. | Min,MPa 6. Tolerances | i) For pipes centrifugally Over 300 mm",
IS 1537 : 1976,1976,"VERTICALLY CAST IRON PRESSURE PIPES FOR WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,,flanges. Standard may also be made applicable to other mm nominal diameter pipe and 2 to 4 m for others. | 2) Length (flanged pipes) ± 10 mm. | 2.2 Tensile Strength— shall not be lower than 15 kgf/ | mm2 3) Maximum deviation from straight line shall not | exceed (1.2 L) mm where l is length in meters. | test pressures kgf/cm2. to the standard. | 4. Mass — Density of cast iron is taken as 7.15 kg/ | 4.1 Tolerance on standard mass ± 5 percent. | 1) Up to 300 mm 20 25 20 25 | up to 600 mm 20 25 15 20 | up to 1000 mm 15 20 10 15 | up to 1500 mm 10 15 10 10,
IS 1538 : 1993,1993,"CAST IRON FITTINGS FOR PRESSURE PIPES FOR WATER, GAS AND SEWAGE",Third Revision,Sanitary Appliances and Water Fittings,,"conform to this standard. MPa (N/mm 2 ) MPa (N/mm 2 ) | pipes shall be of a quality not less than that of the and including 600 | 2.2 Tensile Strength – minimum of 150 MPa (N/mm2). | (DN) mm | Note— ‘f’is the caulking space of the joint in mm (=9+0.003 DN). | Dimension Tolerance, mm Type of Fitting Nominal Dia Tolerance | (mm) (mm) | density of iron as 7.5 kg/ dm3 (1) (2) | fittings shall be ± 8 percent except for bends, | shall be ± 12 percent. 250 395 | 65°C but not so brittle at a temperature of 0°C as to chip 750 960 | (mm) (mm) (mm)",
IS 2002 : 1979,1979,"SAND CAST IRON SPIGOT AND SOCKET SOIL, WASTE AND VENTILATING PIPES, FITTINGS AND ACCESSORIES",Second Revision,Sanitary Appliances and Water Fittings,,"a hydrostatic pressure of 0.07 N/mm2 for minimum 15 | 50 and 75 mm dia 32 mm | 2.1 Shall be free from defects, other than any 100 and 150 mm dia 38 mm | 3. Dimensions (in mm) | when struck with light hand hammer. 3.1 Straight Pipes and Scokets– | Nominal mass 1500 mm length 9.56 13.86 18.14 26.70 | of pipe(kg) 1800 mm length 11.41 16.52 21.67 31.92 | excluding ears 2000 mm length 12.65 18.37 24.15 35.66 | double) = 100 mm | Nominal Size 50 75 100 150 floor trap, floor trap (Nahani), 90 and 100 mm WC | 3.12 Straight Inspection Pieces Wall thickness ± 1.0 mm | Nominal Size 50 75 100 150 External dia of barrel ± 3 mm for 50 and 75",For detailed information refer to IS 1729:2002.
IS 1879 : 1987,1987,MALLEABLE CAST IRON PIPE FITTINGS,Second Revision,Sanitary Appliances and Water Fittings,,"mm mm mm mm mm | of up to 1.4 MPa in the case of water and up to 0.7 MPa 1/4 2.5 -0.5 1.3 3.6 | exceeding 100°C. 3/4 3.0 -0.7 1.5 4.6 | nominal diameter DN in mm is given in Appendix A of the 2 4.0 -0.7 2.3 6.1 | 6.2 Tolerances on Dimensions— Where maximum and | minimum dimensions are not specified shall be as | mm mm mm | 3 x 2½ (Size Designation) mm | 1½ 1½ 1½ 1½ — a) Internal hydraulic pressure of not less than 2.1 MPa, | 2½ — 2½ 2½ — b) Internal air pressure of 1.05 MPa whilst the fitting is | 3 — 3 3 — completely immersed in water or light oil.",
IS 3989 :1984,1984,CENTRIFUGALLY CAST (SPUN) IRON SPIGOT AND SOCKET SOIL WASTE AND VENTILATING PIPES FITTINGS AND ACCESSORIES,Second Revision,Sanitary Appliances and Water Fittings,"Requirements for centrifugally cast (spun) iron spigot and socket soil, waste and ventilating pipes 4.3 Equal and Unequal Branches With and Without together with the details of the fittings and accessories. Access door These pipes and fittings are suitable for use above a) Equal Branch Angle θ ground only. Nominal Dia","striking with a light hand hammer, shall emit a clear 100 75 92½°, 112½° and 135°. | a pressure of 0.07 MPa (N/mm2) for 15 seconds the pipes 50 | 4. Sizes (in mm) — Nominal Diameter DN, of Nominal Diameter | Body Branch (mm) (mm) (mm) | 100 100 95°, 112½°, 1800 mm. The tolerances on dimensioins of fittings shall be | kg/dm3. Toterance on mass –10 prercent. | Nominal Dia. 50, 75, 100 and 150. 65°C but not so brittle at a temperature of 0°C as to chip",
IS 5382 : 1985,1985,"RUBBER SEALIG RINGS FOR GAS MAINS, WATER MAINS AND SEWERS",First Revision,Sanitary Appliances and Water Fittings,"Requirements for materials used for 3.2 Finish — The rings shall be homogeneous; free vulcanized solid rubber sealing rings for water supply from porosity, grit, excessive blooms, blisters or other and drainage systems, drain pipes, sewers and rainwater visible surface imperfections. The fin or flash shall be pipes, all at ambient temerature including gas reduced as much as possible and in any case the connections. It covers joint rings for all pipeling materials thickness of it shall be reduced as much as possible and including iron, steel, stonewares, asbestos-cement, in any case the thickness of it shall not exceed 0.4 mm concrete, pitch fibre, plastics and glass reinforced and the width 0.8 mm. plastics. This standard does not cover dimensional and joint design requirements. 3.3 Stretc","including iron, steel, stonewares, asbestos-cement, in any case the thickness of it shall not exceed 0.4 mm | concrete, pitch fibre, plastics and glass reinforced and the width 0.8 mm. | is increased by 50 percent, then visually inspect for the | substances which impart taste, odour or toxicity to water. | ii) Compression set, percent, Max | for 24 h at 70 ± 1°C 25 25 25 25 25 25 | for 72 +0 h at 70 ± 1°C 12 12 12 12 15 15 | iii) Ageing, maximum change | b) Tensile strength, percent 20 20 20 20 20 20 | c) Elongation at break, percent –30 to +10 –30 to +10 –30 to +10 –30 to +10 –30 to +10 –30 to +10 | iv) Water immersion change in volume –0 to+ 8 – 0 to + 8 –0 to + 8 –0 to + 8 –0 to + 8 –0 to + 8 | after immersion in neutral water for",
IS 5531 : 1988,1988,"CAST IRON SPECIALS FOR ASBESTOS CEMENT PRESSURE PIPES FOR WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,"Requirements for cast iron specials to 5.3 Cast Iron Plain and Reducers be used with asbestos cement pressure pipes for water, gas and sewage. Nominal Dia Nominal Dia (Large end) (Small end) 1.2 Applicable to cast iron specials for use with 100 80 asbestos cement pressure pipes suitable for connection 125 80,100 150 80, 100, 125 with cast iron detachable joints or asbestos cement 200 100, 125, 150 couplings. 225 125,150, 200 250 80, 100, 125,150, 200, 250","3.1 Tensile Strength — Min. 150 MPa. 600 300, 350, 400, 450, 500, 600 | 5. Dimensions — (mm) Nominal Dia Nominal Dia | Wall thickness, e — (2.00 mm + 0.05 e) | Flange thickness, b ± (3.00 mm + 0.05 b) | e = standard thickness of the wall in mm, and be ± 8 percent except for bends and fittings with more | b = standard thickness of the flange in mm. than one branch and non-standard fittings, where it | shall be ± 12 percent.",
IS 6163 : 1978,1978,"CENTRIFUGALLY CAST (SPUN) IRON LOW PRESSURE PIPES FOR WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,"Requirements for centrifugally cast (spun) 5. Sizes (in mm) iron low pressure pipes, known as LP pipes, for conveyance of water, gas and sewage, manufactured in 5.1 Sockets and Spigots of Low Pressure Pipes (Lead metal or sand moulds. Joint) Nominal External Socket 1.2 This standard is applicable to cast iron pipes having Dia Dia spigots and sockets as specified in this standard, and of Barrel Internal Depth also to pipes with other types of joints particularly rubber Dia. joints. In case of rubber joints the inner profile of the 80 98 116 84 socket end of the pipe shall depend on the type of rubber 100 118 137 88 125 144 163 91 joint ensuring that the overall dimensions are maintained 150 170 189 94 for reasons of safety and interchangeability. 200 222 241 100 250 274 294 103","1. Scope — Requirements for centrifugally cast (spun) 5. Sizes (in mm) | 300 mm nominal dia. 40 kgf/mm2, Min 600 635 657 120 | Dia kg/m | Over 300 mm and 20 kgf/mm2 | up to 600 mm Dia. | Over 600 mm 18 kgf/mm2 80 98 4.9 10.25 | Tensile strength 18 kgf/mm2, Min 150 170 5.7 21.04 | unmachined surface shall not exceed 230 HB. | of 6 kgf/cm2 after installation. | ±½f = + (4.5+0.0015 dn) mm in mm — 9 + 0.003 dn | dn — Nominal dia in mm | e — Wall thickness in mm",
IS 6418 : 1971,1971,CAST IRON AND MALLEABLE CAST IRON FLANGES FOR GENERAL ENGINEERING PURPOSES,,Sanitary Appliances and Water Fittings,,"be applicable from 0 to 300°C for oil, water, steam, 2. Pressure and Temperature Rating — | Nominal Typeof Material Design Pressure (N/mm2) at Temperature °C | rating shall be reduced by 25 percent, where moderate shock (as | Nominal pressure— 0.25 N/mm2. | Nominal size — 10 to 4000 mm | interpolation.1 N/mm2 = 0.012 kg/mm2 . | Nominal pressure — 0.6 N/mm2 | 3. Designation —By nominal size and flange table Nominal size — 10 to 3600 mm | pressure and the second part indicates the material and Nominal pressure — 0.6 N/mm2 | type of flange as follows Nominal size — 10 to150 mm | N/mm Nominal size — 6 to 150 mm | Nominal pressure — 1.0 N/mm2",
